ID,Total2020,Total2019,Total2018,Total2017,Total2016,Total2015,0-19-2020,0-19-2019,0-19-2018,0-19-2017,0-19-2016,0-19-2015,20-39-2020,20-39-2019,20-39-2018,20-39-2017,20-39-2016,20-39-2015,40-64-2020,40-64-2019,40-64-2018,40-64-2017,40-64-2016,40-64-2015,65-79-2020,65-79-2019,65-79-2018,65-79-2017,65-79-2016,65-79-2015,80-2020,80-2019,80-2018,80-2017,80-2016,80-2015
11, 1 390 , 1 379 , 1 482 , 1 262 , 1 278 , 1 541 ,10,  10 ,  12 ,  7 ,  10 ,  6 ,  13 ,  11 ,  14 ,  16 ,  21 ,  18 ,  126 ,  126 ,  141 ,  140 ,  129 ,  139 ,  348 ,  322 ,  352 ,  345 ,  329 ,  387 ,  893 ,  910 ,  963 ,  754 ,  789 ,  991 
12, 1 527 , 1 351 , 1 380 , 1 239 , 1 294 , 1 435 ,9,  12 ,  11 ,  5 ,  11 ,  14 ,  18 ,  12 ,  15 ,  13 ,  12 ,  16 ,  141 ,  150 ,  127 ,  148 ,  154 ,  153 ,  386 ,  340 ,  357 ,  278 ,  310 ,  324 ,  973 ,  837 ,  870 ,  795 ,  807 ,  928 
13, 1 619 , 1 322 , 1 348 , 1 183 , 1 269 , 1 293 ,9,  12 ,  12 ,  10 ,  7 ,  4 ,  17 ,  17 ,  12 ,  13 ,  16 ,  16 ,  159 ,  147 ,  144 ,  140 ,  138 ,  144 ,  416 ,  327 ,  346 ,  311 ,  286 ,  329 , 1 018 ,  819 ,  834 ,  709 ,  822 ,  800 
14, 1 874 , 1 382 , 1 339 , 1 234 , 1 242 , 1 302 ,8,  10 ,  8 ,  15 ,  6 ,  13 ,  20 ,  13 ,  13 ,  13 ,  18 ,  15 ,  143 ,  144 ,  143 ,  137 ,  112 ,  156 ,  437 ,  350 ,  327 ,  320 ,  289 ,  325 , 1 266 ,  865 ,  848 ,  749 ,  817 ,  793 
15, 1 644 , 1 222 , 1 300 , 1 201 , 1 224 , 1 229 ,9,  5 ,  14 ,  7 ,  11 ,  4 ,  22 ,  16 ,  9 ,  12 ,  21 ,  20 ,  137 ,  115 ,  141 ,  144 ,  125 ,  134 ,  393 ,  317 ,  305 ,  301 ,  312 ,  306 , 1 083 ,  769 ,  831 ,  737 ,  755 ,  765 
16, 1 570 , 1 308 , 1 229 , 1 181 , 1 139 , 1 284 ,11,  8 ,  9 ,  6 ,  8 ,  9 ,  20 ,  13 ,  9 ,  16 ,  21 ,  16 ,  143 ,  147 ,  162 ,  138 ,  134 ,  138 ,  371 ,  316 ,  328 ,  310 ,  296 ,  334 , 1 025 ,  824 ,  721 ,  711 ,  680 ,  787 
17, 1 369 , 1 233 , 1 147 , 1 223 , 1 175 , 1 215 ,11,  6 ,  9 ,  11 ,  8 ,  12 ,  18 ,  16 ,  11 ,  12 ,  12 ,  10 ,  156 ,  120 ,  141 ,  128 ,  128 ,  135 ,  308 ,  315 ,  306 ,  316 ,  314 ,  310 ,  876 ,  776 ,  680 ,  756 ,  713 ,  748 
18, 1 247 , 1 256 , 1 226 , 1 210 , 1 172 , 1 275 ,9,  4 ,  7 ,  7 ,  8 ,  12 ,  17 ,  14 ,  13 ,  19 ,  23 ,  20 ,  99 ,  120 ,  128 ,  134 ,  138 ,  119 ,  287 ,  324 ,  332 ,  324 ,  305 ,  339 ,  835 ,  794 ,  746 ,  726 ,  698 ,  785 
19, 1 177 , 1 266 , 1 200 , 1 204 , 1 149 , 1 161 ,6,  8 ,  13 ,  7 ,  3 ,  5 ,  21 ,  16 ,  14 ,  9 ,  12 ,  14 ,  137 ,  166 ,  131 ,  149 ,  157 ,  151 ,  308 ,  330 ,  291 ,  304 ,  285 ,  279 ,  705 ,  746 ,  751 ,  735 ,  692 ,  712 
20, 1 150 , 1 218 , 1 117 , 1 207 , 1 176 , 1 152 ,11,  7 ,  10 ,  9 ,  15 ,  16 ,  17 ,  18 ,  16 ,  14 ,  17 ,  17 ,  140 ,  134 ,  140 ,  141 ,  122 ,  145 ,  286 ,  306 ,  290 ,  297 ,  285 ,  305 ,  696 ,  753 ,  661 ,  746 ,  737 ,  669 
21, 1 189 , 1 271 , 1 223 , 1 186 , 1 227 , 1 129 ,7,  14 ,  9 ,  9 ,  8 ,  9 ,  20 ,  22 ,  18 ,  22 ,  11 ,  13 ,  123 ,  137 ,  142 ,  132 ,  125 ,  142 ,  300 ,  294 ,  272 ,  305 ,  324 ,  287 ,  739 ,  804 ,  782 ,  718 ,  759 ,  678 
22, 1 098 , 1 245 , 1 159 , 1 126 , 1 150 , 1 099 ,7,  3 ,  6 ,  15 ,  10 ,  10 ,  14 ,  19 ,  11 ,  15 ,  13 ,  14 ,  135 ,  131 ,  133 ,  124 ,  120 ,  145 ,  273 ,  356 ,  316 ,  317 ,  291 ,  289 ,  669 ,  736 ,  693 ,  655 ,  716 ,  641 
23, 1 166 , 1 251 , 1 178 , 1 108 , 1 104 , 1 171 ,7,  12 ,  8 ,  7 ,  6 ,  9 ,  18 ,  17 ,  17 ,  17 ,  16 ,  18 ,  126 ,  119 ,  147 ,  144 ,  136 ,  134 ,  299 ,  324 ,  313 ,  285 ,  282 ,  311 ,  716 ,  779 ,  693 ,  655 ,  664 ,  699 
24, 1 148 , 1 171 , 1 119 , 1 120 , 1 113 , 1 169 ,10,  6 ,  8 ,  9 ,  12 ,  15 ,  17 ,  14 ,  15 ,  14 ,  13 ,  14 ,  123 ,  151 ,  120 ,  122 ,  147 ,  139 ,  318 ,  303 ,  312 ,  308 ,  308 ,  322 ,  680 ,  697 ,  664 ,  667 ,  633 ,  679 
25, 1 146 , 1 210 , 1 127 , 1 196 , 1 237 , 1 100 ,7,  14 ,  12 ,  9 ,  9 ,  7 ,  18 ,  16 ,  12 ,  21 ,  10 ,  16 ,  135 ,  149 ,  145 ,  122 ,  143 ,  139 ,  295 ,  308 ,  304 ,  322 ,  328 ,  279 ,  691 ,  723 ,  654 ,  722 ,  747 ,  659 
26, 1 175 , 1 243 , 1 181 , 1 166 , 1 172 , 1 197 ,9,  11 ,  11 ,  8 ,  15 ,  18 ,  13 ,  10 ,  14 ,  15 ,  13 ,  6 ,  143 ,  138 ,  127 ,  145 ,  139 ,  171 ,  312 ,  332 ,  297 ,  296 ,  300 ,  311 ,  698 ,  752 ,  732 ,  702 ,  705 ,  691 
27, 1 175 , 1 258 , 1 152 , 1 158 , 1 092 , 1 295 ,9,  4 ,  11 ,  8 ,  11 ,  4 ,  16 ,  17 ,  19 ,  14 ,  14 ,  18 ,  138 ,  151 ,  133 ,  126 ,  129 ,  155 ,  310 ,  313 ,  282 ,  309 ,  275 ,  353 ,  702 ,  773 ,  707 ,  701 ,  663 ,  765 
28, 1 166 , 1 225 , 1 078 , 1 087 , 1 164 , 1 358 ,8,  7 ,  4 ,  8 ,  15 ,  9 ,  7 ,  12 ,  19 ,  17 ,  23 ,  14 ,  142 ,  142 ,  127 ,  125 ,  128 ,  154 ,  308 ,  315 ,  287 ,  316 ,  287 ,  346 ,  701 ,  749 ,  641 ,  621 ,  711 ,  835 
29, 1 109 , 1 206 , 1 223 , 1 151 , 1 235 , 1 295 ,6,  6 ,  9 ,  12 ,  8 ,  15 ,  12 ,  11 ,  20 ,  22 ,  18 ,  25 ,  118 ,  146 ,  135 ,  134 ,  141 ,  163 ,  261 ,  306 ,  309 ,  297 ,  320 ,  327 ,  712 ,  737 ,  750 ,  686 ,  748 ,  765 
30, 1 151 , 1 260 , 1 222 , 1 121 , 1 181 , 1 174 ,16,  12 ,  4 ,  12 ,  10 ,  7 ,  15 ,  11 ,  22 ,  17 ,  19 ,  15 ,  136 ,  119 ,  150 ,  128 ,  136 ,  133 ,  282 ,  342 ,  316 ,  290 ,  291 ,  320 ,  702 ,  776 ,  730 ,  674 ,  725 ,  699 
31, 1 265 , 1 139 , 1 264 , 1 200 , 1 113 , 1 140 ,6,  12 ,  11 ,  14 ,  7 ,  6 ,  17 ,  18 ,  16 ,  15 ,  19 ,  19 ,  158 ,  121 ,  164 ,  144 ,  164 ,  143 ,  290 ,  286 ,  325 ,  286 ,  274 ,  272 ,  794 ,  702 ,  748 ,  741 ,  649 ,  700 
32, 1 163 , 1 138 , 1 222 , 1 099 , 1 150 , 1 215 ,11,  11 ,  7 ,  6 ,  13 ,  15 ,  21 ,  26 ,  14 ,  18 ,  16 ,  21 ,  128 ,  123 ,  132 ,  119 ,  155 ,  149 ,  307 ,  272 ,  339 ,  288 ,  288 ,  289 ,  696 ,  706 ,  730 ,  668 ,  678 ,  741 
33, 1 222 , 1 142 , 1 187 , 1 128 , 1 166 , 1 195 ,5,  6 ,  5 ,  6 ,  15 ,  12 ,  16 ,  14 ,  15 ,  15 ,  14 ,  18 ,  142 ,  121 ,  146 ,  121 ,  121 ,  137 ,  283 ,  291 ,  309 ,  299 ,  286 ,  288 ,  776 ,  710 ,  712 ,  687 ,  730 ,  740 
34, 1 207 , 1 252 , 1 145 , 1 207 , 1 131 , 1 152 ,9,  17 ,  6 ,  11 ,  4 ,  10 ,  17 ,  15 ,  11 ,  28 ,  9 ,  13 ,  124 ,  137 ,  133 ,  169 ,  129 ,  146 ,  308 ,  330 ,  297 ,  273 ,  279 ,  314 ,  749 ,  753 ,  698 ,  726 ,  710 ,  669 
35, 1 165 , 1 147 , 1 206 , 1 164 , 1 137 , 1 172 ,7,  9 ,  7 ,  12 ,  5 ,  7 ,  9 ,  14 ,  16 ,  19 ,  24 ,  23 ,  129 ,  110 ,  142 ,  141 ,  143 ,  142 ,  313 ,  318 ,  342 ,  300 ,  276 ,  326 ,  707 ,  696 ,  699 ,  692 ,  689 ,  674 
36, 1 165 , 1 172 , 1 178 , 1 153 , 1 184 , 1 151 ,16,  4 ,  5 ,  8 ,  11 ,  7 ,  24 ,  14 ,  16 ,  17 ,  14 ,  20 ,  121 ,  126 ,  158 ,  154 ,  161 ,  134 ,  303 ,  331 ,  301 ,  308 ,  280 ,  297 ,  701 ,  697 ,  698 ,  666 ,  718 ,  693 
